tweet_id_customer,customer_message,created_at_customer,tweet_id_brand,brand_reply,created_at_brand,customer_message_clean,brand_reply_clean,intent
224420,Can someone please tell me how to start an artist radio station o.n this @115888 app on  this #xboxone app ? I be damned if I see how ??,Thu Oct 05 04:31:51 +0000 2017,224418,"@169626 Hey there! At this time, we're afraid this isn't possible. There's more info about this here: https://t.co/IQvWN7FkZu /NQ",Thu Oct 05 05:01:27 +0000 2017,Can someone please tell me how to start an artist radio station o.n this app on this #xboxone app ? I be damned if I see how ??,"Hey there! At this time, we're afraid this isn't possible. There's more info about this here: /NQ",device_platform
2077051,"@SpotifyCares having trouble activating a Family Premium account. Got the email with code but get 600 error message, now can't access page",Mon Oct 09 10:26:10 +0000 2017,2077050,"@614298 Hey Matt, help's here! Can you DM us your account's username or email address? We'll take a look under the hood /RS https://t.co/ldFdZRiNAt",Mon Oct 09 11:47:35 +0000 2017,"having trouble activating a Family Premium account. Got the email with code but get 600 error message, now can't access page","Hey Matt, help's here! Can you DM us your account's username or email address? We'll take a look under the hood /RS",billing_subscription
1855121,@554978 ただspotifyは無料会員だと、シャッフルでしか再生できなかったり途中で関係ない曲入れられたり早送りが５曲？くらいまでしかできなくて慣れるまで少しイライラします笑,Thu Oct 19 08:01:54 +0000 2017,1855119,@554977 ツイート拝見しました。Freeユーザーでスマホをご利用の場合はシャッフル再生となりますが、時間制限なしでお楽しみいただけます。タブレットやパソコンではシャッフルなしで15時間/30日までご利用いただけます。詳しくはこちら→ https://t.co/OoJIjpfeRy /AH,Thu Oct 19 08:05:21 +0000 2017,ただspotifyは無料会員だと、シャッフルでしか再生できなかったり途中で関係ない曲入れられたり早送りが５曲？くらいまでしかできなくて慣れるまで少しイライラします笑,ツイート拝見しました。Freeユーザーでスマホをご利用の場合はシャッフル再生となりますが、時間制限なしでお楽しみいただけます。タブレットやパソコンではシャッフルなしで15時間/30日までご利用いただけます。詳しくはこちら→ /AH,feature_request
2666299,"@SpotifyCares Thank you, I know that it’s something a lot of people would like too, there was even a petition started somewhere! X",Sun Nov 19 08:20:30 +0000 2017,2666301,"@751180 We've already passed your feedback on to the right folks. If you need anything else, let us know. We're always... https://t.co/30FxtpFyVv 🙂 /BD",Sun Nov 19 09:38:50 +0000 2017,"Thank you, I know that it’s something a lot of people would like too, there was even a petition started somewhere! X","We've already passed your feedback on to the right folks. If you need anything else, let us know. We're always... 🙂 /BD",feature_request
2473682,"@SpotifyCares It's not song specific, but it might be playlist specific. It doesn't happen on my Mac, and I only have this mobile device.",Fri Nov 17 15:11:42 +0000 2017,2473683,@707288 We understand. Could you send us a DM with your account's email address or username? We'll take a look backstage /CO https://t.co/ldFdZRiNAt,Fri Nov 17 15:24:30 +0000 2017,"It's not song specific, but it might be playlist specific. It doesn't happen on my Mac, and I only have this mobile device.",We understand. Could you send us a DM with your account's email address or username? We'll take a look backstage /CO,playback_technical
225356,@SpotifyCares https://t.co/t1VR724onN this is the playlist thx :),Wed Oct 11 07:10:39 +0000 2017,225357,@169836 Got it! It looks like the songs in this playlist are not available. We have info about Spotify content here: https://t.co/0i8GpimuDa /PL,Wed Oct 11 07:24:02 +0000 2017,this is the playlist thx :),Got it! It looks like the songs in this playlist are not available. We have info about Spotify content here: /PL,general_other
2175388,@SpotifyCares I need to use an apo address but cant change country(apos are technically us) I don't want to do it via payment because it's to redeem a family account. Im moving but i really want to download my playlist before the flight.,Thu Nov 09 14:48:15 +0000 2017,2175387,@637757 Hey Ashlan! Can you DM us your account's email address? We'll take a look backstage /SJ https://t.co/ldFdZRiNAt,Thu Nov 09 14:52:35 +0000 2017,I need to use an apo address but cant change country(apos are technically us) I don't want to do it via payment because it's to redeem a family account. Im moving but i really want to download my playlist before the flight.,Hey Ashlan! Can you DM us your account's email address? We'll take a look backstage /SJ,account_access
2672747,@SpotifyCares why did u charge me twice and why won’t my Hulu work?!,Tue Oct 31 10:57:53 +0000 2017,2672746,@752488 Hey Lexi! We've just replied to your DM. Let's carry on chatting there /C,Tue Oct 31 11:28:34 +0000 2017,why did u charge me twice and why won’t my Hulu work?!,Hey Lexi! We've just replied to your DM. Let's carry on chatting there /C,billing_subscription
1442521,@SpotifyCares i fixed the problem. i had not to include spotify app in the closed apps after lockscreen,Tue Nov 07 11:03:44 +0000 2017,1442522,@454711 Nice. Glad to hear it's all good. Just let us know if we can help with anything else. https://t.co/m4HWSbgHVZ /GK,Tue Nov 07 14:23:33 +0000 2017,i fixed the problem. i had not to include spotify app in the closed apps after lockscreen,Nice. Glad to hear it's all good. Just let us know if we can help with anything else. /GK,playback_technical
2077980,Hey @115888 I’m having trouble logging into my account and the websites not super helpful. Can you please DM me,Mon Oct 09 14:47:03 +0000 2017,2077979,"@614575 Hey Koshin, help's here! Can you DM us your account's username or email address? We'll take a look backstage /PL https://t.co/ldFdZRiNAt",Mon Oct 09 14:53:33 +0000 2017,Hey I’m having trouble logging into my account and the websites not super helpful. Can you please DM me,"Hey Koshin, help's here! Can you DM us your account's username or email address? We'll take a look backstage /PL",account_access
