tweet_id_customer,customer_message,created_at_customer,tweet_id_brand,brand_reply,created_at_brand,customer_message_clean,brand_reply_clean,suggested_intent,true_intent
2150430,"@SpotifyCares Yup... already did that.  So far, he's gone.  Love you to shut down that dudes account!",Thu Nov 09 01:23:06 +0000 2017,2153162,"@632016 1: This is something for our Accounts team. To get in touch with them, just go to our contact form here: https://t.co/EQsHGd5NCy and...",Thu Nov 09 01:33:57 +0000 2017,"Yup... already did that. So far, he's gone. Love you to shut down that dudes account!","1: This is something for our Accounts team. To get in touch with them, just go to our contact form here: and...",account_access,account_access
1852506,@SpotifyCares Hi! Janella P. From Spotify solved my problem! Please thank her for me! And thank you for replying so quickly!,Thu Oct 19 02:58:20 +0000 2017,1852508,@554403 Awesome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /RB,Thu Oct 19 04:20:31 +0000 2017,Hi! Janella P. From Spotify solved my problem! Please thank her for me! And thank you for replying so quickly!,Awesome! Let us know if you ever need us again. We'd be... /RB,general_other,general_other
2950137,"@SpotifyCares Didn't work, I reinstaled it, but still the same",Wed Nov 29 18:22:42 +0000 2017,2950139,@814721 We hear you. Can you DM us your account's username and email address? We'll take a look backstage /TF https://t.co/ldFdZRiNAt,Wed Nov 29 18:26:05 +0000 2017,"Didn't work, I reinstaled it, but still the same",We hear you. Can you DM us your account's username and email address? We'll take a look backstage /TF,playback_technical,playback_technical
2934025,"@SpotifyCares Yea as we don't have Spotify India and you guys might launch it soon , so I thought of ..... https://t.co/lbWr4XjXuh",Wed Nov 29 09:36:07 +0000 2017,2934027,"@810985 Got it. Don't worry, we'll let the right folks know this is something you'd like to see in the future. Feel free to tweet us if there's anything else /GK",Wed Nov 29 10:47:22 +0000 2017,"Yea as we don't have Spotify India and you guys might launch it soon , so I thought of .....","Got it. Don't worry, we'll let the right folks know this is something you'd like to see in the future. Feel free to tweet us if there's anything else /GK",feature_request,feature_request
1066759,"Dear @SpotifyCares @116380 , just letting you know your shuffle algo now appears to be in perfect working order 👌 https://t.co/BwaGZHQHul",Fri Oct 13 09:31:51 +0000 2017,1066758,"@371743 Awesome, thanks for letting us know. Enjoy the music! 🎶 https://t.co/SkdXv2BhCb /KM",Fri Oct 13 11:02:32 +0000 2017,"Dear , just letting you know your shuffle algo now appears to be in perfect working order 👌","Awesome, thanks for letting us know. Enjoy the music! 🎶 /KM",general_other,general_other
1903730,@115888 Hifi???,Wed Oct 25 04:38:21 +0000 2017,1903729,"@567330 We don't have any info to share right now, but you can show your support for Lossless streaming by voting here: https://t.co/jA0OzJ0OO3 /LO",Wed Oct 25 05:00:56 +0000 2017,Hifi???,"We don't have any info to share right now, but you can show your support for Lossless streaming by voting here: /LO",general_other,general_other
678426,"@SpotifyCares i think i put wrong address when i joined my family plan and now the buyer of the family plan reinvited me and i tried writing right and wrong addresses and still i get this error ""Oops something went wrong.... "" what should i do?",Thu Nov 23 06:00:20 +0000 2017,678425,@281867 Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt,Thu Nov 23 07:05:51 +0000 2017,"i think i put wrong address when i joined my family plan and now the buyer of the family plan reinvited me and i tried writing right and wrong addresses and still i get this error ""Oops something went wrong.... "" what should i do?",Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ,billing_subscription,billing_subscription
1823717,@117168 how can I change my address to my familiar premium thing???? Can u guys get a better tech support contact? 😒,Mon Oct 16 05:40:33 +0000 2017,1823716,"@73495 Hey Marcela! Don't worry, we're here for you. Can you DM us your account's email address? We'll have a look backstage /RI https://t.co/ldFdZRiNAt",Mon Oct 16 05:48:08 +0000 2017,how can I change my address to my familiar premium thing???? Can u guys get a better tech support contact? 😒,"Hey Marcela! Don't worry, we're here for you. Can you DM us your account's email address? We'll have a look backstage /RI",account_access,account_access
2777732,"@SpotifyCares Why is Spotify saying I have a free account suddenly? I’ve been paying for years. Same credit card, not expired. Logged out and in, still not working.",Tue Nov 21 14:30:59 +0000 2017,2777731,@220017 Hi Alex! Can you DM us your account's username or email address? We'll take a look backstage /MC https://t.co/ldFdZRiNAt,Tue Nov 21 15:35:23 +0000 2017,"Why is Spotify saying I have a free account suddenly? I’ve been paying for years. Same credit card, not expired. Logged out and in, still not working.",Hi Alex! Can you DM us your account's username or email address? We'll take a look backstage /MC,billing_subscription,billing_subscription
1897086,"@SpotifyCares I already 'redeemed' student discount, but I get billed for 10 euros. Can I get this money back and have my acc changed?",Tue Oct 24 15:32:57 +0000 2017,1897085,"@565422 Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage 🔍 /DQ https://t.co/ldFdZRiNAt",Tue Oct 24 16:34:24 +0000 2017,"I already 'redeemed' student discount, but I get billed for 10 euros. Can I get this money back and have my acc changed?","Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage 🔍 /DQ",billing_subscription,billing_subscription
